text,emotion,hr,hrv,eda
Audio segment classified as joy based on elated vocal characteristics,joy,85.2,67.2,3.68
"The vocal expression conveys fear, the tone is frightened",fear,99.0,32.6,9.01
The person is speaking in a repulsed tone suggesting disgust,disgust,73.4,41.2,6.68
The speaker sounds frustrated,frustration,95.4,34.4,6.37
Voice analysis indicates neutral with typical intensity,neutral,71.2,62.5,1.17
"The vocal expression conveys fear, the tone is scared",fear,100.9,39.2,7.49
Prosodic analysis of a workplace statement reveals standard excitement,excitement,109.6,40.1,6.0
The speaker sounds placid,calm,67.5,61.5,0.93
"Audio emotional state: calm, detected from speech prosody",calm,69.5,72.4,1.14
Acoustic features suggest the person feels elated while delivering a spoken utterance,joy,73.5,59.4,2.1
Audio segment classified as disgust based on sickened vocal characteristics,disgust,81.9,48.2,6.57
The speaker's voice carries distinct signs of being panicked,fear,80.6,33.7,7.04
"Audio emotional state: fear, detected from speech prosody",fear,94.7,27.2,9.23
Audio segment classified as surprise based on amazed vocal characteristics,surprise,96.6,52.8,3.03
"The vocal expression conveys grief, the tone is anguished",grief,60.5,30.1,2.02
The person is speaking in a calm tone suggesting calm,calm,58.9,83.1,1.71
"Audio emotional state: sadness, detected from speech prosody",sadness,57.9,56.0,1.73
The person is speaking in a cheerful tone suggesting joy,joy,78.9,61.2,3.25
The person is speaking in a irritated tone suggesting anger,anger,92.9,28.5,5.61
Acoustic features suggest the person feels disgusted while delivering a reflective statement,disgust,72.2,52.5,4.98
The speaker's voice carries normal signs of being impassive,neutral,62.2,64.5,1.6
The speaker's voice carries typical signs of being elated,joy,71.4,56.4,3.53
Acoustic features suggest the person feels vexed while delivering an emotional statement,frustration,86.5,30.4,4.2
Emotional tone: terrified. Intensity level: moderate. Classification: fear,fear,89.8,30.1,9.42
Audio segment classified as disgust based on disgusted vocal characteristics,disgust,87.5,52.7,4.42
Speech emotion detection: downcast voice pattern with moderate arousal,sadness,67.3,53.8,1.31
Acoustic features suggest the person feels melancholy while delivering a transactional statement,sadness,66.4,42.4,1.84
Acoustic features suggest the person feels astonished while delivering a spoken utterance,surprise,79.5,52.5,5.4
Acoustic features suggest the person feels gloomy while delivering a thoughtful expression,sadness,67.3,52.1,1.17
Speech emotion detection: matter-of-fact voice pattern with moderate arousal,neutral,67.4,72.6,1.61
"Audio emotional state: joy, detected from speech prosody",joy,87.8,50.3,3.06
Emotional tone: scornful. Intensity level: typical. Classification: contempt,contempt,84.7,36.0,4.89
Acoustic features suggest the person feels thrilled while delivering an emotional statement,excitement,95.8,48.4,6.56
The person is speaking in a delighted tone suggesting joy,joy,73.0,70.6,2.6
Acoustic features suggest the person feels animated while delivering an emotional statement,excitement,95.7,47.5,6.18
The speaker sounds disgusted,disgust,75.8,36.1,5.82
"The vocal expression conveys grief, the tone is anguished",grief,68.3,41.0,2.81
Prosodic analysis of an emotional statement reveals low anxiety,anxiety,82.4,27.9,7.61
Voice analysis indicates fear with normal intensity,fear,93.7,44.6,9.48
Voice joy indicator — the speaker sounds happy with moderate expression,joy,80.0,65.7,2.45
Acoustic features suggest the person feels exasperated while delivering a suggestive phrase,frustration,88.5,44.4,6.15
"Audio emotional state: joy, detected from speech prosody",joy,87.0,63.2,2.29
Voice analysis indicates joy with noticeable intensity,joy,82.3,76.5,3.71
Acoustic features suggest the person feels downcast while delivering a spoken phrase,sadness,59.2,45.1,1.51
Audio segment classified as joy based on joyful vocal characteristics,joy,89.9,72.9,2.3
The speaker sounds neutral,neutral,67.4,61.0,1.87
"Audio emotional state: anger, detected from speech prosody",anger,91.4,35.3,7.73
Voice analysis indicates neutral with standard intensity,neutral,75.0,64.2,1.16
The person is speaking in a delighted tone suggesting joy,joy,71.9,64.8,3.88
Acoustic features suggest the person feels cheerful while delivering a conversational statement,joy,89.4,76.0,3.47
"The vocal expression conveys fear, the tone is panicked",fear,101.3,35.2,9.72
The person is speaking in a terrified tone suggesting fear,fear,95.9,29.0,9.53
Voice analysis indicates sadness with evident intensity,sadness,59.3,58.3,1.24
"The vocal expression conveys anger, the tone is angry",anger,93.5,29.5,6.39
Audio segment classified as anger based on enraged vocal characteristics,anger,85.1,22.4,6.22
The person is speaking in a appalled tone suggesting disgust,disgust,84.0,43.3,6.82
Prosodic analysis of a reflective statement reveals standard calm,calm,61.1,70.1,1.93
Audio segment classified as neutral based on neutral vocal characteristics,neutral,60.5,69.7,1.42
Emotional tone: enraged. Intensity level: moderate. Classification: anger,anger,106.7,34.8,7.59
The speaker sounds astonished,surprise,99.9,35.6,3.32
Voice anxiety indicator — the speaker sounds tense with standard expression,anxiety,98.1,23.0,5.16
Audio segment classified as fear based on fearful vocal characteristics,fear,99.3,35.0,9.04
The speaker's voice carries standard signs of being contemptuous,contempt,87.5,45.5,3.49
Audio segment classified as sadness based on sorrowful vocal characteristics,sadness,59.6,57.2,1.15
The speaker sounds downcast,sadness,63.2,50.3,1.81
Speech emotion detection: irritated voice pattern with standard arousal,anger,98.7,32.2,6.85
Voice analysis indicates fear with moderate intensity,fear,88.1,34.6,9.42
Prosodic analysis of a spoken utterance reveals distinct joy,joy,77.2,63.0,3.2
Voice joy indicator — the speaker sounds pleased with normal expression,joy,81.2,55.1,2.1
The speaker sounds terrified,fear,98.3,27.3,7.02
Emotional tone: heartbroken. Intensity level: standard. Classification: grief,grief,67.7,37.4,1.58
"Audio emotional state: excitement, detected from speech prosody",excitement,93.4,58.2,4.61
The speaker's voice carries distinct signs of being sorrowful,sadness,60.0,51.8,1.45
Acoustic features suggest the person feels angry while delivering an emotional statement,anger,93.1,34.1,6.47
"The vocal expression conveys anger, the tone is livid",anger,89.6,37.1,7.43
Audio segment classified as disgust based on disgusted vocal characteristics,disgust,78.8,50.3,6.86
Speech emotion detection: frightened voice pattern with pronounced arousal,fear,81.2,32.6,9.61
"The vocal expression conveys contempt, the tone is scornful",contempt,84.5,31.1,3.33
Voice analysis indicates fear with typical intensity,fear,100.7,25.1,8.68
The speaker's voice carries moderate signs of being serene,calm,61.6,87.1,0.84
Voice analysis indicates fear with typical intensity,fear,82.2,34.3,8.12
"Audio emotional state: disgust, detected from speech prosody",disgust,81.3,46.2,4.79
Emotional tone: panicked. Intensity level: typical. Classification: fear,fear,96.3,34.7,7.09
Voice analysis indicates surprise with clear intensity,surprise,82.3,47.1,5.57
The speaker's voice carries typical signs of being composed,neutral,69.2,77.9,1.77
Speech emotion detection: tranquil voice pattern with evident arousal,calm,60.2,66.6,1.89
Voice fear indicator — the speaker sounds scared with moderate expression,fear,91.8,29.2,8.74
Voice calm indicator — the speaker sounds calm with normal expression,calm,63.6,74.8,1.22
Emotional tone: composed. Intensity level: noticeable. Classification: neutral,neutral,67.8,67.4,1.08
The person is speaking in a matter-of-fact tone suggesting neutral,neutral,65.1,67.2,1.89
Acoustic features suggest the person feels even-toned while delivering a spoken utterance,neutral,61.3,77.3,1.15
The speaker's voice carries typical signs of being revolted,disgust,78.7,39.8,5.67
Audio segment classified as joy based on pleased vocal characteristics,joy,74.4,67.2,3.73
"The vocal expression conveys anger, the tone is irate",anger,93.2,35.2,7.67
The speaker's voice carries moderate signs of being anxious,anxiety,84.2,20.5,7.37
Emotional tone: terrified. Intensity level: strong. Classification: fear,fear,93.1,44.8,9.51
Audio segment classified as neutral based on even-toned vocal characteristics,neutral,67.3,71.2,1.89
Voice analysis indicates joy with standard intensity,joy,85.8,73.4,2.82
Emotional tone: scared. Intensity level: normal. Classification: fear,fear,104.4,31.6,7.33
"The vocal expression conveys anger, the tone is irate",anger,103.2,29.7,7.42
Voice fear indicator — the speaker sounds panicked with moderate expression,fear,81.0,25.6,6.99
Speech emotion detection: frightened voice pattern with standard arousal,fear,80.9,42.5,6.49
Acoustic features suggest the person feels irate while delivering a workplace statement,anger,100.7,23.1,7.6
Voice disgust indicator — the speaker sounds appalled with typical expression,disgust,70.3,54.1,4.77
The speaker sounds furious,anger,87.8,27.7,6.47
Acoustic features suggest the person feels frightened while delivering a conversational statement,fear,85.5,33.4,7.43
Audio segment classified as contempt based on dismissive vocal characteristics,contempt,75.1,40.6,3.82
Voice analysis indicates sadness with typical intensity,sadness,68.1,48.4,1.47
Audio segment classified as neutral based on matter-of-fact vocal characteristics,neutral,74.3,77.9,1.71
"The vocal expression conveys sadness, the tone is dejected",sadness,62.6,46.3,1.51
Voice analysis indicates joy with moderate intensity,joy,88.9,67.2,3.9
"Audio emotional state: neutral, detected from speech prosody",neutral,66.1,62.3,1.03
Audio segment classified as surprise based on taken aback vocal characteristics,surprise,95.7,50.7,5.06
Speech emotion detection: fearful voice pattern with moderate arousal,fear,101.9,27.3,6.32
Acoustic features suggest the person feels exasperated while delivering an emotional statement,frustration,84.4,35.3,6.25
The person is speaking in a delighted tone suggesting joy,joy,72.8,64.8,3.87
Audio segment classified as sadness based on sorrowful vocal characteristics,sadness,65.1,54.6,1.34
The speaker's voice carries standard signs of being elated,joy,84.6,65.9,2.27
The person is speaking in a appalled tone suggesting disgust,disgust,74.4,46.7,5.94
The person is speaking in a anxious tone suggesting anxiety,anxiety,97.6,22.5,5.71
Speech emotion detection: surprised voice pattern with noticeable arousal,surprise,83.9,50.6,5.6
The person is speaking in a sad tone suggesting sadness,sadness,56.2,56.9,1.75
Voice analysis indicates disgust with moderate intensity,disgust,78.3,54.4,5.61
The speaker sounds derisive,contempt,78.2,36.0,3.28
Voice analysis indicates anger with moderate intensity,anger,92.1,35.5,6.83
Voice analysis indicates neutral with standard intensity,neutral,65.1,60.8,1.39
Speech emotion detection: fearful voice pattern with typical arousal,fear,90.5,25.5,9.37
"Audio emotional state: anxiety, detected from speech prosody",anxiety,93.1,23.4,6.58
The speaker sounds exhilarated,excitement,103.4,49.9,5.49
The speaker's voice carries normal signs of being enraged,anger,108.0,22.4,7.67
Prosodic analysis of a workplace statement reveals standard fear,fear,88.6,35.1,9.35
Speech emotion detection: irate voice pattern with standard arousal,anger,107.3,33.4,6.82
Speech emotion detection: terrified voice pattern with standard arousal,fear,101.4,32.0,8.25
Emotional tone: elated. Intensity level: clear. Classification: joy,joy,81.4,52.5,4.0
Voice disgust indicator — the speaker sounds revolted with noticeable expression,disgust,83.4,49.8,6.14
The speaker sounds repulsed,disgust,72.1,50.3,6.24
Audio segment classified as disgust based on sickened vocal characteristics,disgust,74.2,45.5,6.77
The person is speaking in a livid tone suggesting anger,anger,96.3,25.1,5.82
The speaker's voice carries typical signs of being downcast,sadness,63.3,47.1,1.17
Prosodic analysis of a descriptive statement reveals normal grief,grief,66.8,32.8,2.8
The person is speaking in a astonished tone suggesting surprise,surprise,83.3,36.6,4.35
Acoustic features suggest the person feels peaceful while delivering a descriptive statement,calm,61.5,87.8,1.84
Prosodic analysis of a reflective statement reveals normal anger,anger,107.8,28.6,7.63
"The vocal expression conveys grief, the tone is heartbroken",grief,56.4,49.2,2.86
The speaker's voice carries standard signs of being melancholy,sadness,62.4,51.3,1.73
"Audio emotional state: frustration, detected from speech prosody",frustration,90.6,40.4,6.76
The speaker sounds impassive,neutral,62.8,56.7,1.96
The person is speaking in a panicked tone suggesting fear,fear,97.2,34.1,6.16
Audio segment classified as anger based on irritated vocal characteristics,anger,92.6,38.2,7.15
Voice anxiety indicator — the speaker sounds uneasy with subtle expression,anxiety,96.8,39.8,7.36
"Audio emotional state: joy, detected from speech prosody",joy,82.1,56.0,2.78
Voice analysis indicates joy with normal intensity,joy,88.2,58.1,2.05
Speech emotion detection: matter-of-fact voice pattern with normal arousal,neutral,74.2,73.2,1.28
Audio segment classified as fear based on fearful vocal characteristics,fear,85.6,35.2,8.79
Speech emotion detection: downcast voice pattern with standard arousal,sadness,57.4,48.2,1.99
Speech emotion detection: incensed voice pattern with evident arousal,anger,101.5,25.5,7.8
Speech emotion detection: peaceful voice pattern with standard arousal,calm,71.4,81.2,1.81
The speaker's voice carries noticeable signs of being calm,calm,63.8,89.9,0.89
The speaker's voice carries standard signs of being delighted,joy,74.6,61.0,3.3
Voice analysis indicates anger with moderate intensity,anger,92.2,23.0,5.93
Emotional tone: repulsed. Intensity level: typical. Classification: disgust,disgust,70.4,48.3,6.68
The speaker's voice carries normal signs of being repulsed,disgust,81.2,53.2,6.72
"The vocal expression conveys excitement, the tone is ecstatic",excitement,100.1,44.4,5.59
Speech emotion detection: gloomy voice pattern with clear arousal,sadness,67.3,43.5,1.95
Speech emotion detection: serene voice pattern with normal arousal,calm,61.7,60.6,1.89
The speaker sounds scared,fear,100.3,31.6,6.38
"The vocal expression conveys excitement, the tone is excited",excitement,105.0,54.9,5.64
The speaker's voice carries normal signs of being composed,neutral,63.8,76.8,1.95
Emotional tone: delighted. Intensity level: standard. Classification: joy,joy,77.5,56.9,2.74
Acoustic features suggest the person feels pleased while delivering a factual statement,joy,74.3,66.6,3.53
"The vocal expression conveys anger, the tone is angry",anger,87.3,35.0,5.88
The speaker sounds even-toned,neutral,71.9,66.3,1.37
Prosodic analysis of a social interaction phrase reveals typical disgust,disgust,77.3,44.5,4.15
The speaker sounds happy,joy,83.9,67.6,2.04
The speaker sounds agitated,frustration,85.9,26.6,4.5
Audio segment classified as sadness based on melancholy vocal characteristics,sadness,57.3,54.9,1.89
Prosodic analysis of a suggestive phrase reveals standard neutral,neutral,70.9,65.7,1.3
Prosodic analysis of a spoken utterance reveals evident surprise,surprise,76.6,36.1,5.5
The speaker sounds impassive,neutral,72.0,62.7,1.08
The speaker sounds sickened,disgust,81.1,45.4,6.14
The speaker sounds irritated,anger,107.6,36.6,7.46
Voice calm indicator — the speaker sounds tranquil with moderate expression,calm,68.9,71.8,1.59
"The vocal expression conveys sadness, the tone is sad",sadness,60.0,46.3,1.96
Emotional tone: exhilarated. Intensity level: intense. Classification: excitement,excitement,91.7,50.9,4.17
Prosodic analysis of a suggestive phrase reveals moderate neutral,neutral,62.2,76.0,1.38
The speaker sounds alarmed,fear,82.6,38.9,8.25
Emotional tone: enraged. Intensity level: intense. Classification: anger,anger,101.0,38.5,5.24
The person is speaking in a terrified tone suggesting fear,fear,85.0,35.4,6.61
The speaker sounds repulsed,disgust,76.5,50.8,5.0
Voice analysis indicates anger with normal intensity,anger,106.5,28.3,7.96
Voice anger indicator — the speaker sounds enraged with distinct expression,anger,86.0,30.3,5.21
Speech emotion detection: sad voice pattern with standard arousal,sadness,62.7,41.4,1.34
Speech emotion detection: nervous voice pattern with typical arousal,anxiety,90.8,38.5,8.36
The person is speaking in a excited tone suggesting excitement,excitement,108.8,51.1,5.49
Voice disgust indicator — the speaker sounds repulsed with distinct expression,disgust,88.2,39.2,4.01
Prosodic analysis of a motivational sentence reveals moderate disgust,disgust,72.5,50.1,6.05
"The vocal expression conveys anger, the tone is enraged",anger,91.4,28.7,5.23
Voice analysis indicates neutral with typical intensity,neutral,65.9,67.3,1.09
Acoustic features suggest the person feels relaxed while delivering a conversational statement,calm,65.5,78.3,1.38
Voice analysis indicates anger with moderate intensity,anger,85.1,32.7,7.41
Voice anger indicator — the speaker sounds enraged with moderate expression,anger,86.2,25.0,5.33
The speaker sounds sickened,disgust,82.0,35.8,6.67
"Audio emotional state: surprise, detected from speech prosody",surprise,98.8,41.8,5.3
Voice analysis indicates joy with moderate intensity,joy,88.5,78.0,2.52
"The vocal expression conveys excitement, the tone is ecstatic",excitement,90.0,49.0,4.31
"Audio emotional state: sadness, detected from speech prosody",sadness,67.1,46.1,1.7
Prosodic analysis of an emotional statement reveals pronounced excitement,excitement,94.2,50.6,6.88
Speech emotion detection: furious voice pattern with typical arousal,anger,91.9,29.0,6.65
Voice analysis indicates joy with standard intensity,joy,79.5,61.1,2.66
"Audio emotional state: frustration, detected from speech prosody",frustration,94.0,35.1,6.64
Voice analysis indicates anger with moderate intensity,anger,94.5,37.0,7.65
Speech emotion detection: melancholy voice pattern with moderate arousal,sadness,56.3,41.5,1.46
The speaker's voice carries standard signs of being melancholy,sadness,69.6,52.8,1.51
Prosodic analysis of an emotional statement reveals evident sadness,sadness,58.9,42.3,1.19
Prosodic analysis of a motivational sentence reveals normal neutral,neutral,66.9,70.6,1.05
Acoustic features suggest the person feels anxious while delivering a spoken utterance,anxiety,80.8,24.4,5.28
The speaker sounds despondent,grief,52.6,39.7,2.11
Voice analysis indicates surprise with moderate intensity,surprise,83.1,50.2,5.42
Prosodic analysis of a conversational statement reveals moderate joy,joy,72.1,50.8,3.38
"The vocal expression conveys neutral, the tone is neutral",neutral,74.5,72.3,1.49
Voice analysis indicates contempt with typical intensity,contempt,80.8,34.7,4.78
Emotional tone: enraged. Intensity level: distinct. Classification: anger,anger,98.7,23.2,7.23
Audio segment classified as anger based on angry vocal characteristics,anger,91.6,26.0,5.17
Speech emotion detection: impassive voice pattern with normal arousal,neutral,74.5,78.8,1.69
Prosodic analysis of an emotional statement reveals typical neutral,neutral,64.9,72.6,1.55
The speaker sounds revolted,disgust,77.9,42.5,5.63
Emotional tone: neutral. Intensity level: standard. Classification: neutral,neutral,64.8,71.4,1.59
The person is speaking in a repulsed tone suggesting disgust,disgust,87.8,44.2,4.24
"The vocal expression conveys sadness, the tone is downcast",sadness,56.2,41.0,1.87
The speaker sounds scared,fear,97.7,29.4,8.45
Voice fear indicator — the speaker sounds fearful with normal expression,fear,95.3,35.0,8.56
Voice sadness indicator — the speaker sounds gloomy with standard expression,sadness,64.4,41.1,1.17
The person is speaking in a sickened tone suggesting disgust,disgust,88.0,54.8,4.68
Speech emotion detection: impassive voice pattern with normal arousal,neutral,67.7,55.7,1.73
Voice analysis indicates anger with normal intensity,anger,106.0,33.1,6.97
The person is speaking in a dejected tone suggesting sadness,sadness,65.0,56.3,1.38
The speaker sounds neutral,neutral,65.8,57.4,1.87
Audio segment classified as calm based on relaxed vocal characteristics,calm,61.0,76.3,1.19
"Audio emotional state: joy, detected from speech prosody",joy,71.8,71.3,2.87
The person is speaking in a joyful tone suggesting joy,joy,87.5,78.9,2.32
The person is speaking in a scared tone suggesting fear,fear,84.2,27.9,7.22
"Audio emotional state: anger, detected from speech prosody",anger,91.1,22.1,5.25
Voice analysis indicates anger with typical intensity,anger,90.2,35.3,6.14
"The vocal expression conveys sadness, the tone is downcast",sadness,55.8,42.0,1.53
Acoustic features suggest the person feels fearful while delivering an emotional statement,fear,89.2,41.2,9.96
The speaker's voice carries normal signs of being thrilled,excitement,85.0,52.9,5.04
Emotional tone: terrified. Intensity level: noticeable. Classification: fear,fear,91.5,38.8,7.45
Audio segment classified as neutral based on neutral vocal characteristics,neutral,62.4,61.4,1.76
Acoustic features suggest the person feels irritated while delivering a spoken utterance,anger,105.6,27.5,7.41
The person is speaking in a elated tone suggesting joy,joy,70.4,55.0,2.57
"The vocal expression conveys anger, the tone is incensed",anger,106.5,20.9,5.3
"The vocal expression conveys disgust, the tone is disgusted",disgust,78.5,44.6,4.88
Prosodic analysis of an emotional statement reveals pronounced grief,grief,60.3,49.5,1.19
The speaker's voice carries standard signs of being composed,neutral,67.9,68.7,1.48
Voice joy indicator — the speaker sounds happy with moderate expression,joy,83.4,66.2,2.35
Audio segment classified as sadness based on dejected vocal characteristics,sadness,61.3,56.9,1.38
Voice analysis indicates neutral with normal intensity,neutral,63.3,57.1,1.0
Acoustic features suggest the person feels impassive while delivering a spoken utterance,neutral,63.9,56.7,1.79
The speaker sounds pleased,joy,77.8,63.1,2.53
"The vocal expression conveys disgust, the tone is revolted",disgust,71.3,48.1,5.81
"The vocal expression conveys disgust, the tone is appalled",disgust,87.2,48.5,5.5
The person is speaking in a sickened tone suggesting disgust,disgust,85.8,36.6,6.64
The person is speaking in a angry tone suggesting anger,anger,98.0,29.7,6.62
"Audio emotional state: sadness, detected from speech prosody",sadness,61.4,49.1,1.0
The speaker sounds agitated,frustration,95.3,35.8,4.13
"Audio emotional state: anger, detected from speech prosody",anger,92.4,35.9,7.47
"The vocal expression conveys fear, the tone is frightened",fear,86.4,27.2,8.37
Audio segment classified as joy based on pleased vocal characteristics,joy,71.8,73.0,3.45
The speaker sounds joyful,joy,70.6,51.0,2.8
Emotional tone: joyful. Intensity level: standard. Classification: joy,joy,80.4,62.4,3.11
Speech emotion detection: stunned voice pattern with clear arousal,surprise,80.6,38.9,4.88
The person is speaking in a irate tone suggesting anger,anger,107.2,28.3,6.44
Emotional tone: energized. Intensity level: typical. Classification: excitement,excitement,88.7,45.6,6.07
Voice analysis indicates fear with moderate intensity,fear,103.2,42.0,6.67
"The vocal expression conveys anxiety, the tone is anxious",anxiety,83.3,23.8,5.47
Voice neutral indicator — the speaker sounds neutral with normal expression,neutral,70.3,58.6,1.73
The person is speaking in a fearful tone suggesting fear,fear,98.1,33.0,6.18
Prosodic analysis of a reflective statement reveals moderate anger,anger,95.0,21.3,7.63
"Audio emotional state: disgust, detected from speech prosody",disgust,72.5,54.1,5.45
Speech emotion detection: revolted voice pattern with typical arousal,disgust,80.6,40.1,4.66
Speech emotion detection: repulsed voice pattern with evident arousal,disgust,82.4,38.2,4.13
"Audio emotional state: sadness, detected from speech prosody",sadness,58.2,42.7,1.85
"The vocal expression conveys neutral, the tone is neutral",neutral,68.0,70.4,1.06
Voice analysis indicates joy with standard intensity,joy,80.0,52.4,2.91
Voice analysis indicates frustration with normal intensity,frustration,86.9,33.0,6.49
Voice sadness indicator — the speaker sounds sad with moderate expression,sadness,69.7,48.2,1.54
The speaker's voice carries subtle signs of being worried,anxiety,92.5,28.7,5.43
Speech emotion detection: scared voice pattern with moderate arousal,fear,85.3,30.1,8.5
Speech emotion detection: irritated voice pattern with standard arousal,anger,100.0,26.0,7.42
Voice joy indicator — the speaker sounds cheerful with standard expression,joy,85.4,72.4,2.51
The person is speaking in a impassive tone suggesting neutral,neutral,65.0,78.8,1.4
Prosodic analysis of a social interaction phrase reveals normal calm,calm,63.3,84.4,1.78
"The vocal expression conveys sadness, the tone is downcast",sadness,69.1,58.3,1.21
Prosodic analysis of a thoughtful expression reveals standard excitement,excitement,86.1,52.2,6.92
Acoustic features suggest the person feels placid while delivering an emotional statement,calm,70.4,74.9,1.63
Speech emotion detection: melancholy voice pattern with standard arousal,sadness,66.6,52.0,1.48
The person is speaking in a furious tone suggesting anger,anger,95.8,30.5,6.99
Speech emotion detection: gloomy voice pattern with standard arousal,sadness,55.0,56.2,1.69
Acoustic features suggest the person feels impassive while delivering a spoken utterance,neutral,61.0,79.2,1.93
"The vocal expression conveys sadness, the tone is gloomy",sadness,59.1,41.7,1.21
The speaker's voice carries clear signs of being enraged,anger,97.6,25.5,6.28
Audio segment classified as frustration based on exasperated vocal characteristics,frustration,94.0,26.6,4.5
The person is speaking in a sad tone suggesting sadness,sadness,66.6,57.5,1.16
Acoustic features suggest the person feels happy while delivering a factual statement,joy,87.3,65.7,2.86
Emotional tone: frustrated. Intensity level: standard. Classification: frustration,frustration,98.7,31.1,5.95
"The vocal expression conveys sadness, the tone is sad",sadness,60.7,52.7,1.54
Prosodic analysis of a transactional statement reveals normal sadness,sadness,68.6,47.0,1.06
The speaker's voice carries normal signs of being impassive,neutral,70.9,71.0,1.7
Voice analysis indicates fear with normal intensity,fear,101.9,36.4,6.83
Voice analysis indicates sadness with distinct intensity,sadness,62.9,56.6,1.7
Acoustic features suggest the person feels terrified while delivering a reflective statement,fear,92.6,32.1,7.78
Prosodic analysis of a workplace statement reveals moderate anger,anger,89.2,34.9,6.98
Audio segment classified as anger based on irritated vocal characteristics,anger,109.2,32.7,5.82
The speaker's voice carries typical signs of being sad,sadness,58.9,53.5,1.85
Emotional tone: downcast. Intensity level: moderate. Classification: sadness,sadness,60.3,49.7,1.97
Speech emotion detection: incensed voice pattern with moderate arousal,anger,107.8,39.4,7.17
"Audio emotional state: fear, detected from speech prosody",fear,83.2,31.7,9.84
Emotional tone: sickened. Intensity level: standard. Classification: disgust,disgust,70.0,40.2,5.29
Audio segment classified as neutral based on composed vocal characteristics,neutral,73.7,71.5,1.28
Speech emotion detection: matter-of-fact voice pattern with normal arousal,neutral,66.1,64.9,1.6
"Audio emotional state: neutral, detected from speech prosody",neutral,65.2,64.6,1.68
The speaker's voice carries moderate signs of being furious,anger,109.0,21.2,5.43
Voice joy indicator — the speaker sounds joyful with distinct expression,joy,89.3,79.1,3.26
The person is speaking in a sickened tone suggesting disgust,disgust,86.4,37.7,6.09
Speech emotion detection: revolted voice pattern with distinct arousal,disgust,76.4,45.8,4.31
Emotional tone: elated. Intensity level: moderate. Classification: joy,joy,72.4,71.1,2.4
Voice neutral indicator — the speaker sounds impassive with normal expression,neutral,69.6,59.3,1.28
"The vocal expression conveys anger, the tone is enraged",anger,102.5,29.3,5.71
Voice analysis indicates frustration with noticeable intensity,frustration,81.5,41.9,6.74
Emotional tone: delighted. Intensity level: moderate. Classification: joy,joy,83.1,77.0,3.92
Audio segment classified as anger based on enraged vocal characteristics,anger,101.0,21.8,5.74
Voice analysis indicates neutral with standard intensity,neutral,66.0,59.9,1.89
Acoustic features suggest the person feels exasperated while delivering an emotional statement,frustration,83.4,34.5,5.21
Prosodic analysis of a spoken utterance reveals distinct surprise,surprise,99.2,46.1,3.4
Acoustic features suggest the person feels cheerful while delivering a motivational sentence,joy,71.3,64.0,2.1
Acoustic features suggest the person feels angry while delivering a spoken utterance,anger,103.4,26.8,7.12
The speaker sounds happy,joy,73.2,68.2,3.68
"Audio emotional state: fear, detected from speech prosody",fear,82.9,27.4,9.04
Voice analysis indicates joy with normal intensity,joy,89.3,77.6,3.93
The speaker sounds repulsed,disgust,73.8,40.2,6.54
Audio segment classified as disgust based on disgusted vocal characteristics,disgust,72.8,48.1,5.41
Audio segment classified as fear based on panicked vocal characteristics,fear,102.8,27.9,8.25
Speech emotion detection: vexed voice pattern with normal arousal,frustration,86.8,43.7,6.47
The speaker sounds incensed,anger,103.0,22.4,7.95
Voice neutral indicator — the speaker sounds composed with typical expression,neutral,67.8,75.6,1.43
Acoustic features suggest the person feels matter-of-fact while delivering a suggestive phrase,neutral,62.7,75.2,1.82
"Audio emotional state: contempt, detected from speech prosody",contempt,76.4,41.8,3.78
Prosodic analysis of a spoken phrase reveals typical disgust,disgust,84.4,50.2,6.24
The person is speaking in a neutral tone suggesting neutral,neutral,64.9,62.1,1.99
Speech emotion detection: disgusted voice pattern with noticeable arousal,disgust,75.7,53.2,5.28
Prosodic analysis of a spoken utterance reveals clear joy,joy,83.6,51.8,3.92
"The vocal expression conveys anxiety, the tone is uneasy",anxiety,92.8,26.1,7.86
Prosodic analysis of a spoken utterance reveals evident sadness,sadness,66.7,50.6,1.49
The speaker sounds even-toned,neutral,64.0,62.0,1.02
"The vocal expression conveys joy, the tone is elated",joy,87.3,79.1,2.11
Prosodic analysis of a spoken utterance reveals noticeable joy,joy,73.7,65.6,2.8
The speaker's voice carries moderate signs of being cheerful,joy,85.5,62.3,3.63
The speaker's voice carries moderate signs of being livid,anger,85.5,33.9,6.43
Emotional tone: happy. Intensity level: standard. Classification: joy,joy,87.2,65.8,3.97
The speaker sounds irate,anger,97.4,28.6,7.25
"The vocal expression conveys joy, the tone is elated",joy,89.5,68.2,2.41
The speaker sounds repulsed,disgust,71.7,53.0,4.26
Voice analysis indicates joy with moderate intensity,joy,71.7,50.3,3.72
Voice analysis indicates fear with standard intensity,fear,103.0,25.0,9.4
Prosodic analysis of a spoken utterance reveals clear surprise,surprise,75.3,43.3,5.34
Speech emotion detection: melancholy voice pattern with clear arousal,sadness,68.7,42.1,1.55
Emotional tone: cheerful. Intensity level: moderate. Classification: joy,joy,85.9,54.3,3.47
Emotional tone: impassive. Intensity level: standard. Classification: neutral,neutral,66.7,60.0,1.68
Voice excitement indicator — the speaker sounds energized with normal expression,excitement,86.6,46.7,6.97
The speaker's voice carries normal signs of being sad,sadness,66.4,40.8,1.88
"The vocal expression conveys disgust, the tone is appalled",disgust,81.0,47.3,4.79
